MGO1,MGS1,MGO2,MGS2,MGO3,MGS3,MGO4,MGS4,MGO5,MGS5,MGO6,MGS6,MGO7,MGS7,MGO8,MGS8,MGO9,MGS9,MGO10,MGS10,MGO11,MGS11,MGO12,MGS12,MGO13,MGS13,MGO14,MGS14,MGO15,MGS15,MGO16,MGS16,MGO17,MGS17,AttCheck,Age,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Rel,Eng,Emp_status,Income,Education,Gender,pol_party_1,pol_party_2,pol_party_3,pol_party_4,pol_soc,pol_econ,Condition,subj,Other1Self0,Public1Priv0,MoralGood1,MoralGood2,MoralGood3,MoralGood4,MoralGood5,MoralGood6,MoralGood7,MoralGood8,MoralGood9,MoralGood10,MoralGood11,MoralGood12,MoralGood13,MoralGood14,MoralGood15,MoralGood16,MoralGood17,Race,PartyID,Ideology
,4,,2,,4,,4,,5,,3,,5,,4,,3,,4,,4,,3,,5,,2,,2,,5,,5,orange,34,1,,,,,,#NULL!,1,2,4,3,3,2,,1,,,3,1,SelfPublic,57,0,1,4,2,4,4,5,3,5,4,3,4,4,3,5,2,2,5,5,White,Dem,2
,6,,3,,6,,6,,3,,3,,3,,6,,6,,6,,6,,3,,6,,6,,4,,4,,6,orange,34,1,,,,,,#NULL!,3,1,8,1,3,1,1,,,,4,4,SelfPublic,58,0,1,6,3,6,6,3,3,3,6,6,6,6,3,6,6,4,4,6,White,Rep,4
,6,,7,,5,,6,,5,,5,,4,,5,,5,,4,,4,,4,,6,,7,,6,,5,,5,orange,34,1,,,,,,#NULL!,1,1,1,8,6,1,,,1,,3,10,SelfPrivate,59,0,0,6,7,5,6,5,5,4,5,5,4,4,4,6,7,6,5,5,White,Ind,6.5
,6,,6,,5,,7,,7,,5,,6,,6,,6,,5,,5,,6,,6,,7,,5,,6,,7,orange,38,1,,,,,,#NULL!,1,1,1,8,5,1,,,1,,2,3,SelfPrivate,60,0,0,6,6,5,7,7,5,6,6,6,5,5,6,6,7,5,6,7,White,Ind,2.5
5,,5,,6,,7,,7,,5,,6,,7,,5,,6,,6,,5,,7,,6,,5,,6,,6,,orange,47,1,,,,,,#NULL!,3,1,1,6,5,1,1,,,,3,8,OtherPrivate,61,1,0,5,5,6,7,7,5,6,7,5,6,6,5,7,6,5,6,6,White,Rep,5.5
,4,,3,,4,,5,,5,,4,,4,,5,,4,,4,,3,,4,,5,,5,,2,,4,,4,orange,65,1,,,,,,#NULL!,1,1,1,3,2,2,,1,,,3,3,SelfPublic,62,0,1,4,3,4,5,5,4,4,5,4,4,3,4,5,5,2,4,4,White,Dem,3
4,,4,,6,,5,,4,,6,,4,,5,,6,,4,,6,,3,,4,,4,,5,,4,,6,,orange,,1,1,1,,,,#NULL!,3,1,3,6,3,1,,,1,,4,4,OtherPrivate,63,1,0,4,4,6,5,4,6,4,5,6,4,6,3,4,4,5,4,6,AmerInd,Ind,4
4,,4,,4,,5,,6,,5,,5,,4,,5,,4,,5,,4,,5,,5,,4,,4,,4,,orange,45,1,,,,,,#NULL!,3,1,1,9,6,1,1,,,,10,10,OtherPrivate,64,1,0,4,4,4,5,6,5,5,4,5,4,5,4,5,5,4,4,4,White,Rep,10
5,,6,,5,,5,,6,,7,,7,,7,,6,,6,,4,,6,,6,,7,,6,,6,,7,,orange,25,1,,,,,,#NULL!,1,1,9,3,1,3,,1,,,1,1,OtherPrivate,65,1,0,5,6,5,5,6,7,7,7,6,6,4,6,6,7,6,6,7,White,Dem,1
6,,6,,6,,7,,7,,6,,7,,7,,6,,6,,6,,6,,6,,6,,6,,6,,7,,orange,45,,,,1,,,#NULL!,1,1,1,5,5,1,,1,,,1,2,OtherPublic,66,1,1,6,6,6,7,7,6,7,7,6,6,6,6,6,6,6,6,7,Asian,Dem,1.5
7,,7,,6,,7,,7,,7,,7,,7,,7,,7,,6,,6,,7,,7,,6,,6,,7,,orange,37,,,,,,1,#NULL!,3,1,8,9,6,2,,1,,,2,1,OtherPrivate,67,1,0,7,7,6,7,7,7,7,7,7,7,6,6,7,7,6,6,7,Other,Dem,1.5
,5,,6,,5,,6,,6,,5,,5,,5,,2,,5,,5,,6,,5,,2,,2,,5,,6,orange,27,1,,,,,,#NULL!,1,1,4,1,5,2,,,1,,4,4,SelfPublic,68,0,1,5,6,5,6,6,5,5,5,2,5,5,6,5,2,2,5,6,White,Ind,4
,4,,4,,4,,5,,6,,4,,6,,5,,6,,4,,4,,4,,5,,6,,4,,5,,4,orange,67,,,,1,,,#NULL!,1,1,3,1,3,1,,,1,,2,2,SelfPrivate,69,0,0,4,4,4,5,6,4,6,5,6,4,4,4,5,6,4,5,4,Asian,Ind,2
7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,orange,40,,1,,,,,#NULL!,4,1,1,2,5,2,,1,,,1,1,OtherPrivate,70,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Black,Dem,1
3,,7,,6,,6,,7,,5,,7,,5,,5,,5,,5,,5,,7,,5,,5,,7,,7,,orange,43,1,,,,,,#NULL!,1,1,8,3,1,2,1,,,,8,8,OtherPublic,71,1,1,3,7,6,6,7,5,7,5,5,5,5,5,7,5,5,7,7,White,Rep,8
7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,orange,43,1,,,,,,#NULL!,1,1,1,9,6,2,1,,,,8,8,OtherPrivate,72,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,White,Rep,8
,6,,5,,6,,7,,6,,6,,7,,6,,6,,6,,7,,6,,6,,6,,6,,6,,5,orange,28,1,,,,,,#NULL!,1,1,2,2,3,2,,1,,,2,3,SelfPrivate,73,0,0,6,5,6,7,6,6,7,6,6,6,7,6,6,6,6,6,5,White,Dem,2.5
